"type","name","iso_country","municipality","icao_code","iata_code"
"medium_airport","Chachoán Regional Airport","EC","Ambato","SEAM","ATF"
"medium_airport","Francisco De Orellana Airport","EC","Coca","SECO","OCC"
"medium_airport","Mariscal Lamar Airport","EC","Cuenca","SECU","CUE"
"small_airport","Seymour Galapagos Ecological Airport","EC","Isla Baltra","SEGS","GPS"
"large_airport","José Joaquín de Olmedo International Airport","EC","Guayaquil","SEGU","GYE"
"small_airport","General Villamil Airport","EC","Puerto Villamil","SEII","IBB"
"medium_airport","Jumandy Airport","EC","Ahuano","SEJD","TNW"
"small_airport","Jipijapa Airport","EC","Jipijapa","SEJI","JIP"
"medium_airport","Jose Maria Velasco Ibarra Airport","EC","Macará","SEMA","MRR"
"medium_airport","Coronel E Carvajal Airport","EC","Macas","SEMC","XMS"
"medium_airport","Eloy Alfaro International Airport","EC","Manta","SEMT","MEC"
"small_airport","Nueva Loja Airport","EC","Lago Agrio","SENL","LGQ"
"small_airport","Putumayo Airport","EC","Puerto Putumayo","SEPT","PYO"
"medium_airport","Reales Tamarindos Airport","EC","Portoviejo","SEPV","PVO"
"large_airport","Mariscal Sucre International Airport","EC","Quito","SEQM","UIO"
"medium_airport","Santa Rosa - Artillery Colonel Victor Larrea International Airport","EC","Santa Rosa","SERO","ETR"
"medium_airport","General Ulpiano Paez Airport","EC","Salinas","SESA","SNC"
"small_airport","Sucúa Airport","EC","Sucúa","SESC","SUQ"
"small_airport","Rio Amazonas Airport","EC","Shell Mera","SESM","PTZ"
"small_airport","San Cristóbal Airport","EC","Puerto Baquerizo Moreno","SEST","SCY"
"small_airport","Los Perales Airport","EC","Bahía de Caraquez","SESV","BHA"
"small_airport","Taisha Airport","EC","Taisha","SETH","TSC"
"small_airport","Tiputini Airport","EC","Tiputini","SETI","TPN"
"medium_airport","Carlos Concha Torres International Airport","EC","Tachina","SETN","ESM"
"medium_airport","Tarapoa Airport","EC","Tarapoa","SETR","TPC"
"medium_airport","Lieutenant Colonel Luis A. Mantilla International Airport","EC","Tulcán","SETU","TUA"
"medium_airport","Port Stanley Airport","FK","Stanley","SFAL","PSY"
"large_airport","Silvio Pettirossi International Airport","PY","Asunción","SGAS","ASU"
"medium_airport","Juan de Ayolas National Airport","PY","Ayolas","SGAY","AYO"
"small_airport","Aeródromo de Bahía Negra","PY","Bahía Negra","SGBN","BFA"
"medium_airport","Lieutenant Colonel Carmelo Peralta National Airport","PY","Concepción","SGCO","CIO"
"large_airport","Lieutenant Amin Ayub González International Airport","PY","Encarnación","SGEN","ENO"
"large_airport","Guaraní International Airport","PY","Ciudad del Este","SGES","AGT"
"small_airport","Aeródromo de Filadelfia","PY","Filadelfia","SGFI","FLM"
"large_airport","Doctor Luis Maria Argaña International Airport","PY","Mariscal Estigarribia","SGME","ESG"
"small_airport","Fuerte Olimpo Airport","PY","Fuerte Olimpo","SGOL","OLK"
"medium_airport","Aeródromo Don Carlos Miguel Gimenez","PY","Pilar","SGPI","PIL"
"medium_airport","Dr. Augusto Roberto Fuster Airport","PY","Pedro Juan Caballero","SGPJ","PJC"
"small_airport","Municipal Bom Futuro Airport","BR","Lucas do Rio Verde","SILC","LVR"
"small_airport","Tenente Lund Pressoto Airport","BR","Franca","SIMK","FRC"
"small_airport","Inácio Luís do Nascimento Airport","BR","Juara","SIZX","JUA"
"small_airport","Novo Progresso Airport","BR","Novo Progresso","SJNP","NPR"
"small_airport","Araracuara Airport","CO","Araracuara","SKAC","ACR"
"small_airport","Alcides Fernández Airport","CO","Acandí","SKAD","ACD"
"small_airport","Hacaritama Airport","CO","Aguachica","SKAG","HAY"
"small_airport","Amalfi Airport","CO","Amalfi","SKAM","AFI"
"medium_airport","Gomez Nino Apiay Air Base","CO","Apiay","SKAP","API"
"medium_airport","El Eden Airport","CO","Armenia","SKAR","AXM"
"medium_airport","Tres De Mayo Airport","CO","Puerto Asís","SKAS","PUU"
"small_airport","El Troncal Airport","CO","Arauquita","SKAT","ARQ"
"medium_airport","Las Flores Airport","CO","El Banco","SKBC","ELB"
"medium_airport","Palonegro Airport","CO","Bucaramanga","SKBG","BGA"
"small_airport","Barranco Minas Airport","CO","Barranco Minas","SKBM","NBB"
